Institution,voucher.id,species,subspecies,rec.taxa,date,Type.status,collector,locality,country,elevation,habitat,age,sex,culmen.length,culmen.width,culmen.depth,tail.length,wing.flat,tarsus.length,alula.color,alula.margin,lore.color,lore.black.length,tail.gray.length,no.gray.rectrices,collar.color (pale/uniform),crown.color,mantle.color,supraloral.color,post.ocular.color,widest.median.tip,widest.greater.tip,wing.bar.ratio,throat color,breast,belly,undertail.covs,lat, notes
ANSP,83569,P. salvini,salvini,P. salvini,8/16/23,No,Olalla Brothers,Mindo,Ecuador,NA,NA,U,F,8.53,5.87,5.06,NA,69,NA,brown,0.35,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,gray,gray,2.26,1.93,1.170984456,light gray,yellow,yellow,yellow,,TAIL MOLT
AMNH,182138,P. salvini,salvini,P. salvini,8/10/23,No,H. Watkins,Rio Chinchipe; Perico,Peru,NA,NA,U,F,9.12,5.98,5.45,NA,69,17.54,brown,0.85,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,white,gray,2.67,2.6,1.026923077,white,yellow,yellow,yellow,,tail molting
AMNH,185945,P. salvini,salvini,P. salvini,6/7/24,No,H. Watkins,Lower Mara–on Valley; Jaen,Peru,730,NA,U,F,8.77,5.91,5.04,48,69,16.23,brown,0.59,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,gray,gray,2.03,1.86,1.091397849,ivory,yellow,yellow,yellow,,
AMNH,494156,P. salvini,salvini,P. salvini,2/1/1894,syntype,O. T. Baron,Chusgon; Huamachuco,Peru,2590,NA,U,F,8.45,5.89,4.63,49,71,NA,brown,0.59,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,white,black,1.8,1.06,1.698113208,ivory,yellow,yellow,yellow,,
AMNH,494155,P. salvini,salvini,P. salvini,3/1/1894,syntype,O. T. Baron,Vinia; Huamachuco,Peru,1680,NA,U,F,9.89,5.94,5.24,48,67,NA,brown,0.75,dark gray,0,NA,NA,uniform,dull chestnut,olive-gray,white,gray,2.15,1.25,1.72,ivory,yellow,yellow,yellow,,
AMNH,494158,P. salvini,salvini,P. salvini,4/26/1894,syntype,O. T. Baron,Malia; Cajabamba,Peru,2440,NA,U,F,7.97,5.86,3.6,53,67,NA,brown,0.48,dark gray,1.36,NA,NA,uniform,dull chestnut,olive-brown,white,gray,2.7,1.6,1.6875,ivory,yellow,yellow,yellow,,
ANSP,117854,P. salvini,salvini,P. salvini,8/25/33,No,M. A. Carriker Jr.,Chiva; Cajamarca,Peru,2290,NA,U,F,9.4,5.37,5.18,50,71,NA,brown,0.63,dark gray,0,NA,NA,uniform,dull chestnut,olive-brown,gray,gray,2.54,2.01,1.263681592,ivory,yellow,yellow,yellow,,
ANSP,117847,P. salvini,salvini,P. salvini,7/28/33,No,M. A. Carriker Jr.,SAN IGNACIO; CAJAMARCA,Peru,1220,NA,U,F,8.83,5.78,5.2,49,68,NA,brown,0.6,dark gray,0,NA,NA,uniform,dull chestnut,olive-brown,white,gray,3.15,1.08,2.916666667,ivory,yellow,yellow,yellow,,
ANSP,109911,P. salvini,salvini,P. salvini,8/2/32,No,M. A. Carriker Jr.,LEYMEBAMBA; AAMAZONA,Peru,NA,NA,U,F,8.84,5.21,5.3,52,71,NA,brown,0.7,dark gray,0,NA,NA,uniform,dull chestnut,olive,white,gray,2.05,1.33,1.541353383,ivory,yellow,yellow,yellow,,
ANSP,117852,P. salvini,salvini,P. salvini,4/21/33,No,M. A. Carriker Jr.,CAJABAMBA; CAJAMARCA,Peru,2130,NA,U,F,8.03,6.04,4.66,53,67,NA,brown,0.4,black,1.75,NA,NA,uniform,dull chestnut,olive-brown,gray,black,1.85,1.4,1.321428571,ivory,yellow,yellow,yellow,,
AMNH,167727,P. salvini,guayaquilensis,P. salvini,12/22/00,No,George K. Cherrie,Punta Sta. ANA; Portovelo-Loja trail; El Oro,Ecuador,1795,NA,A,M,9.55,NA,NA,51,67,17.39,black,0.35,dark gray,0,35.59,2,uniform,steel blue,gray ,white,black,2.58,2,1.29,ivory,light gray,white,white,,elevation says 1110-1370 on tag so took average
AMNH,124733,P. salvini,guayaquilensis,P. salvini,4/8/13,No,William B. Richardson,Isla de PuNA,Ecuador,0,NA,A,M,9.52,5.97,5.05,48,69,18,black,0.38,dark gray,0,36.15,2,uniform,steel blue,gray ,white,NA,1.5,1.95,0.769230769,ivory,light gray,ivory,white,,
AMNH,124734,P. salvini,guayaquilensis,P. salvini,3/26/13,No,William B. Richardson,Guayaquil,Ecuador,NA,NA,A,M,9.19,5.16,5.07,45,65,16.82,black,0.5,dark gray,1.2,36.5,2,uniform,steel blue,gray ,white,black,1.88,1.92,0.979166667,ivory,light gray,ivory,white,,
AMNH,494160,P. salvini,guayaquilensis,P. salvini,8/21/1899,type,W. F. H. Rosenberg,Chimbo,Ecuador,300,NA,A,M,9.79,5.69,5.12,44,68,NA,black,0.35,dark gray,0,37.99,2,uniform,steel blue,gray ,white,gray,2.83,1.27,2.228346457,white,light gray,white,white,,
ANSP,59656,P. salvini,guayaquilensis,P. salvini,6/28/11,No,SAM'L R. RHOADS,BUCAY; GUAYAS,Ecuador,300,NA,A,M,9.22,5.39,4.88,49,75,NA,black,0.66,dark gray,0,30.22,1,uniform,steel blue,gray ,white,black,2.66,2.55,1.043137255,light gray,light gray,white,white,,
AMNH,180547,P. salvini,salvini,P. salvini,8/2/23,No,Olalla Brothers,Rio Oyacachi abajo chaco,Ecuador,NA,NA,A,M,9.83,5.4,4.84,49,75,17.9,black,0.45,dark gray,0,33.97,1,uniform,steel blue,gray ,white,black,2.05,1.61,1.273291925,ivory,light gray,ivory,ivory,,
AMNH,167725,P. salvini,salvini,P. salvini,11/28/20,No,George K. Cherrie,Rio Zamora; Zamora; Loja,Ecuador,990,NA,A,M,9.89,5.37,5.11,49,NA,15.42,black,0.52,dark gray,2.5,38.63,2,uniform,steel blue,gray ,white,black,1.88,2.03,0.926108374,ivory,light gray,ivory,white,,Wing flat and wing cord measured as 44mm for both but this is a major outlier so these measurements may not be accurate.\
AMNH,130042,P. salvini,salvini,P. salvini,10/2/13,No,William B. Richardson,Zamora; Loja,Ecuador,610,NA,A,M,8.97,5.28,4.86,50,73,17.16,black,0.4,dark gray,0.9,32.29,1,uniform,steel blue,gray ,white,black,2.14,1.44,1.486111111,ivory,light gray,white,white,,
ANSP,83568,P. salvini,salvini,P. salvini,12/3/20,No,George K. Cherrie,ZAMORA; LOJA,Ecuador,990,NA,A,M,8.64,5.03,5.08,49,71,NA,black,0.52,dark gray,1.52,32.87,1,uniform,steel blue,gray ,white,black,1.55,1.72,0.901162791,light gray,light gray,white,white,,
ANSP,163719,P. salvini,salvini,P. salvini,9/30/38,No,WM. CLARKE-MACINTYRE,MAPOTO; ORIENTE,Ecuador,1300,NA,A,M,8.37,5.26,4.82,NA,72.5,NA,black,NA,dark gray,0,NA,1,uniform,steel blue,gray ,white,black,2.34,1.78,1.314606742,light gray,light gray,white,white,,TAIL MOLT
ANSP,181149,P. salvini,salvini,P. salvini,8/15/88,No,MARK B. ROBBINS,CA. 4KM SSW OF CHICAL; S SIDE OF Q. SAN JOSE OF THE RIO BLANCOL CARCHI,Ecuador,1775,EDGE OF PRIMARY FOREST,A,M,8.54,4.69,4.09,52,70,NA,black,0.25,black,1.51,34.34,2,uniform,steel blue,gray ,white,black,2.45,2.18,1.123853211,white,light gray,white,white,,
AMNH,182134,P. salvini,salvini,P. salvini,7/13/23,No,H. Watkins,Rio Chinchipe; Perico,Peru,NA,NA,A,M,8.94,5.91,5.13,39,73,15.98,black,0.5,dark gray,0,43.18,1,pale with black crown extension,steel blue,gray ,gray,black,2.2,1.887,1.165871754,ivory,light gray,white,white,,
AMNH,182132,P. salvini,salvini,P. salvini,9/5/23,No,H. Watkins,Valley Rio Chinchipe; Huarandosa,Peru,915,NA,A,M,9.38,5.37,4.96,49,70.5,17.02,black,0.89,dark gray,0,40.12,1,uniform,steel blue,gray ,white,gray,2.14,2.12,1.009433962,ivory,light gray,white,white,,
AMNH,185943,P. salvini,salvini,P. salvini,6/7/24,No,H. Watkins,Lower Mara–on Valley; Jaen,Peru,730,NA,A,M,9.31,5.66,4.98,51,72,16.85,black,0.4,dark gray,0,31.84,1,uniform,steel blue,gray ,white,gray,2.08,1.61,1.291925466,ivory,light gray,ivory,white,,
AMNH,182135,P. salvini,salvini,P. salvini,7/17/23,No,H. Watkins,Rio Chinchipe; Perico,Peru,NA,NA,A,M,9.43,5.29,4.83,53,71,16.69,black,0.97,dark gray,0,32.04,2,uniform,steel blue,gray ,white,gray,2.35,3.15,0.746031746,ivory,light gray,white,white,,
AMNH,182133,P. salvini,salvini,P. salvini,9/13/23,No,H. Watkins,Valley Rio Chinchipe; Huarandosa,Peru,915,NA,A,M,7.84,5.3,5.13,54,73,18.1,black,0.3,dark gray,0,30.52,1,uniform,steel blue,gray ,white,black,2.05,2.02,1.014851485,ivory,light gray,white,white,,
AMNH,152245,P. salvini,salvini,P. salvini,6/25/19,No,H. Watkins,Paletillas; Prov. Piura,Peru,475,NA,A,M,9.55,5.47,4.76,NA,73,16.54,black,0.45,dark gray,0,NA,NA,uniform,steel blue,gray ,white,black,2.11,1.87,1.128342246,ivory,light gray,ivory,white,,
AMNH,185944,P. salvini,salvini,P. salvini,6/7/24,No,H. Watkins,Lower Mara–on Valley; Jaen,Peru,730,NA,A,M,8.54,5.35,4.91,48,70,16.46,black,0.45,dark gray,3,33.7,1,uniform,steel blue,gray ,white,black,2.42,2.39,1.012552301,ivory,light gray,white,white,,
AMNH,182136,P. salvini,salvini,P. salvini,8/9/23,No,H. Watkins,Rio Chinchipe; Perico,Peru,NA,NA,A,M,9.11,5.26,4.79,NA,71,16.87,black,0.41,dark gray,2,NA,1,uniform,steel blue,gray ,white,black,2.22,1.87,1.187165775,ivory,light gray,white,white,,
AMNH,494154,P. salvini,salvini,P. salvini,3/1/1894,syntype,O. T. Baron,Huamachuco?,Peru,1680,NA,A,M,9.22,5.73,4.51,54,73,NA,black,0,dark gray,0,41.22,1,uniform,steel blue,gray ,white,black,2.84,2.31,1.229437229,ivory,light gray,white,white,,
